title,company,location,description,url
"Principal Applied Scientist, Optimal Sourcing Systems",Amazon.com Services LLC,"New York, NY",,
AI Senior Solution Architect,Deloitte,"New York, NY",,
"Senior Software Engineer - Generative AI, AGI Inference Engine",Amazon.com Services LLC,"New York, NY",,
Senior Manager of Site Reliability Engineering - Global Lead for Account Reference Data,JPMorgan Chase & Co,"Jersey City, NJ 07310 (The Waterfront area)",,
"Data Scientist, Decisions",Captions,"New York, NY 10022 (Sutton Place area)",,
Senior Data Scientist,Amazee Global Ventures Inc,"New York, NY",,
Data Scientist,New York Ehealth Collaborative Inc,"New York, NY 10006 (Financial District area)",,
Staff Data Scientist,Stash,"Remote in New York, NY",,
Senior Data Scientist (New York),The Voleon Group,"Hybrid work in New York, NY",,
Principal Data Scientist,NBCUniversal,"New York, NY 10020 (Midtown area)",,
Applied AI Scientist (Natural Language),Reality Defender,"Remote in New York, NY",,
Senior Data Scientist,Base.org Careers Page,"New York, NY",,
Senior Data Analyst,Nayya,"Hybrid work in New York, NY",,
Sr. AI System Analyst,The Wolf Works LLC,"Remote in New York, NY",,
"Associate Director, Data Science",Insagic,"New York, NY 10014 (SoHo area)",,
Sr. AI System Analyst (Remote - EST),OMG Technology,"Remote in New York, NY",,
Machine Learning Engineer,Verneek,"New York, NY",,
"Applied Scientist, Machine Learning",Captions,"New York, NY 10022 (Sutton Place area)",,
Senior Data Analyst- Strategic Accounts,Rokt,"Hybrid work in New York, NY 10014",,
Solution Engineer (AI / Insurtech),EvolutionIQ,"New York, NY",,
AI Software Engineer,Kasisto,"Hybrid work in New York, NY",,
"Director, Data Science",KARGO,"Hybrid work in New York, NY 10003",,
Sr. Lead Data Scientist,NBCUniversal,"New York, NY 10020 (Midtown area)",,
Senior AI Engineer,Cyndx,"New York, NY",,
"Manager, Data Science",Zenith,"Hybrid work in New York, NY",,
"Product Manager, Data & Analytics",Atria Physician Practice New York PC,"Hybrid work in New York, NY",,
"Senior Software Engineer, Python (Insurtech AI + ML)",EvolutionIQ,"New York, NY",,
Staff Software Engineer - Bits AI,Datadog,"Hybrid work in New York, NY",,
Staff Software Engineer (AI + ML SaaS),EvolutionIQ,"New York, NY",,
Senior Software Engineer - AI Code Insights,Datadog,"Hybrid work in New York, NY",,
Staff AI / ML Engineer,Recruiting From Scratch,"New York, NY 10016 (Gramercy area)",,
Conversational AI Bot Architect (f/m/d)*,Parloa,"New York, NY (Boerum Hill area)",,
Senior Software Engineer - AI Code Insights - LLM Specialist,Datadog,"Hybrid work in New York, NY",,
